100640425
tensor(0.4869, device='cuda:0')
tensor(0.6512, device='cuda:0')
tensor(0.3076, device='cuda:0')
tensor(0.7173, device='cuda:0')
tensor(0.6395, device='cuda:0')
tensor(0.3675, device='cuda:0')
tensor(0.3818, device='cuda:0')
tensor(0.6906, device='cuda:0')
tensor(0.4384, device='cuda:0')
tensor(0.3639, device='cuda:0')
tensor(0.2767, device='cuda:0')
tensor(0.5262, device='cuda:0')
tensor(0.4432, device='cuda:0')
tensor(0.3142, device='cuda:0')
tensor(0.3350, device='cuda:0')
tensor(0.5228, device='cuda:0')
tensor(0.3726, device='cuda:0')
tensor(0.4964, device='cuda:0')
tensor(0.5664, device='cuda:0')
tensor(0.4995, device='cuda:0')
tensor(0.3040, device='cuda:0')
tensor(0.3339, device='cuda:0')
tensor(0.3249, device='cuda:0')
tensor(0.2935, device='cuda:0')
tensor(0.6484, device='cuda:0')
tensor(0.3673, device='cuda:0')
tensor(0.4496, device='cuda:0')
tensor(0.3691, device='cuda:0')
tensor(0.3403, device='cuda:0')
tensor(0.6929, device='cuda:0')
tensor(0.5258, device='cuda:0')
tensor(0.5954, device='cuda:0')
tensor(0.5160, device='cuda:0')
tensor(0.5387, device='cuda:0')
tensor(0.6843, device='cuda:0')
tensor(0.2790, device='cuda:0')
tensor(0.3941, device='cuda:0')
tensor(0.2772, device='cuda:0')
tensor(0.5089, device='cuda:0')
tensor(0.6709, device='cuda:0')
tensor(0.3784, device='cuda:0')
tensor(0.3676, device='cuda:0')
tensor(0.3620, device='cuda:0')
tensor(0.3729, device='cuda:0')
tensor(0.2814, device='cuda:0')
tensor(0.5977, device='cuda:0')
tensor(0.2987, device='cuda:0')
tensor(0.4027, device='cuda:0')
tensor(0.5779, device='cuda:0')
tensor(0.3254, device='cuda:0')
tensor(0.8077, device='cuda:0')
tensor(0.7239, device='cuda:0')
tensor(0.3373, device='cuda:0')
tensor(0.3633, device='cuda:0')
tensor(0.3475, device='cuda:0')
tensor(0.2553, device='cuda:0')
tensor(0.4977, device='cuda:0')
tensor(0.4752, device='cuda:0')
tensor(0.5574, device='cuda:0')
tensor(0.2327, device='cuda:0')
tensor(0.4627, device='cuda:0')
tensor(0.7463, device='cuda:0')
tensor(0.5037, device='cuda:0')
tensor(0.3937, device='cuda:0')
tensor(0.2998, device='cuda:0')
tensor(0.9584, device='cuda:0')
tensor(0.3649, device='cuda:0')
tensor(0.4351, device='cuda:0')
tensor(0.2365, device='cuda:0')
tensor(0.5357, device='cuda:0')
tensor(0.3717, device='cuda:0')
tensor(0.4454, device='cuda:0')
tensor(0.6873, device='cuda:0')
tensor(0.4573, device='cuda:0')
tensor(0.2396, device='cuda:0')
tensor(1.2049, device='cuda:0')
tensor(1.3384, device='cuda:0')
tensor(0.5848, device='cuda:0')
tensor(0.5784, device='cuda:0')
tensor(1.0754, device='cuda:0')
tensor(0.4991, device='cuda:0')
tensor(0.3204, device='cuda:0')
tensor(0.3775, device='cuda:0')
tensor(0.1788, device='cuda:0')
tensor(0.3419, device='cuda:0')
tensor(0.3679, device='cuda:0')
tensor(0.2820, device='cuda:0')
tensor(0.6728, device='cuda:0')
tensor(0.6596, device='cuda:0')
tensor(0.2449, device='cuda:0')
tensor(0.4207, device='cuda:0')
tensor(0.4089, device='cuda:0')
tensor(0.2775, device='cuda:0')
tensor(0.5103, device='cuda:0')
tensor(0.3468, device='cuda:0')
tensor(0.4239, device='cuda:0')
tensor(0.5853, device='cuda:0')
tensor(0.2328, device='cuda:0')
tensor(0.7245, device='cuda:0')
tensor(0.2479, device='cuda:0')
tensor(0.4435, device='cuda:0')
tensor(0.6501, device='cuda:0')
tensor(0.6509, device='cuda:0')
tensor(0.2382, device='cuda:0')
tensor(0.3734, device='cuda:0')
tensor(0.3789, device='cuda:0')
tensor(0.6759, device='cuda:0')
tensor(0.3663, device='cuda:0')
tensor(0.3193, device='cuda:0')
tensor(0.7513, device='cuda:0')
tensor(0.3821, device='cuda:0')
tensor(0.2483, device='cuda:0')
tensor(0.3223, device='cuda:0')
tensor(0.4622, device='cuda:0')
tensor(0.5698, device='cuda:0')
tensor(0.6873, device='cuda:0')
tensor(0.5397, device='cuda:0')
tensor(0.3492, device='cuda:0')
tensor(0.5376, device='cuda:0')
tensor(0.4193, device='cuda:0')
tensor(0.3771, device='cuda:0')
tensor(0.4743, device='cuda:0')
tensor(0.2726, device='cuda:0')
tensor(0.4956, device='cuda:0')
tensor(0.5344, device='cuda:0')
tensor(0.3560, device='cuda:0')
tensor(0.5686, device='cuda:0')
tensor(0.2654, device='cuda:0')
tensor(0.3911, device='cuda:0')
tensor(0.3963, device='cuda:0')
tensor(0.2960, device='cuda:0')
tensor(0.7481, device='cuda:0')
tensor(0.4307, device='cuda:0')
tensor(0.2572, device='cuda:0')
tensor(0.3552, device='cuda:0')
tensor(0.3683, device='cuda:0')
tensor(0.5287, device='cuda:0')
tensor(0.5599, device='cuda:0')
tensor(0.4249, device='cuda:0')
tensor(0.4457, device='cuda:0')
tensor(0.4956, device='cuda:0')
tensor(0.7210, device='cuda:0')
tensor(0.5983, device='cuda:0')
tensor(0.3593, device='cuda:0')
tensor(0.3688, device='cuda:0')
tensor(1.1840, device='cuda:0')
tensor(0.4762, device='cuda:0')
tensor(0.3216, device='cuda:0')
tensor(0.6129, device='cuda:0')
tensor(0.3827, device='cuda:0')
tensor(0.8290, device='cuda:0')
tensor(0.3526, device='cuda:0')
tensor(0.7940, device='cuda:0')
tensor(0.4650, device='cuda:0')
tensor(0.4389, device='cuda:0')
tensor(0.6360, device='cuda:0')
tensor(0.8376, device='cuda:0')
tensor(0.4750, device='cuda:0')
tensor(0.4259, device='cuda:0')
tensor(0.3708, device='cuda:0')
tensor(0.4062, device='cuda:0')
tensor(0.3760, device='cuda:0')
tensor(0.4087, device='cuda:0')
tensor(0.2509, device='cuda:0')
tensor(0.2395, device='cuda:0')
tensor(0.8098, device='cuda:0')
tensor(0.4274, device='cuda:0')
tensor(1.3012, device='cuda:0')
tensor(0.5283, device='cuda:0')
tensor(0.3413, device='cuda:0')
tensor(0.4034, device='cuda:0')
tensor(0.5285, device='cuda:0')
tensor(0.4855, device='cuda:0')
tensor(0.4455, device='cuda:0')
tensor(0.4137, device='cuda:0')
tensor(0.6910, device='cuda:0')
tensor(0.3875, device='cuda:0')
tensor(0.4299, device='cuda:0')
tensor(0.3528, device='cuda:0')
tensor(0.3660, device='cuda:0')
tensor(0.5321, device='cuda:0')
tensor(0.2890, device='cuda:0')
tensor(0.3116, device='cuda:0')
tensor(0.4321, device='cuda:0')
tensor(0.5283, device='cuda:0')
tensor(0.4028, device='cuda:0')
tensor(0.2968, device='cuda:0')
tensor(0.4728, device='cuda:0')
tensor(0.4897, device='cuda:0')
tensor(0.2867, device='cuda:0')
tensor(0.2858, device='cuda:0')
tensor(0.2979, device='cuda:0')
tensor(0.2855, device='cuda:0')
tensor(0.4321, device='cuda:0')
tensor(0.3084, device='cuda:0')
tensor(0.4202, device='cuda:0')
tensor(1.4132, device='cuda:0')
tensor(0.3592, device='cuda:0')
tensor(0.5383, device='cuda:0')
tensor(0.4761, device='cuda:0')
tensor(0.4482, device='cuda:0')
tensor(0.2171, device='cuda:0')
tensor(0.3179, device='cuda:0')
tensor(0.3383, device='cuda:0')
tensor(0.4807, device='cuda:0')
tensor(0.3818, device='cuda:0')
tensor(0.9891, device='cuda:0')
tensor(0.4578, device='cuda:0')
tensor(0.4263, device='cuda:0')
tensor(0.3016, device='cuda:0')
tensor(0.3828, device='cuda:0')
tensor(0.4375, device='cuda:0')
tensor(0.2853, device='cuda:0')
tensor(0.2359, device='cuda:0')
tensor(0.5718, device='cuda:0')
tensor(0.3403, device='cuda:0')
tensor(0.6831, device='cuda:0')
tensor(0.2184, device='cuda:0')
tensor(0.5604, device='cuda:0')
tensor(1.8555, device='cuda:0')
tensor(0.3435, device='cuda:0')
tensor(0.3810, device='cuda:0')
tensor(0.3508, device='cuda:0')
tensor(0.2658, device='cuda:0')
tensor(0.3332, device='cuda:0')
tensor(0.4984, device='cuda:0')
tensor(0.9659, device='cuda:0')
tensor(0.3743, device='cuda:0')
tensor(0.2355, device='cuda:0')
tensor(0.4592, device='cuda:0')
tensor(0.3499, device='cuda:0')
tensor(0.7122, device='cuda:0')
tensor(0.6024, device='cuda:0')
tensor(0.5363, device='cuda:0')
tensor(0.4328, device='cuda:0')
tensor(0.3400, device='cuda:0')
tensor(0.3872, device='cuda:0')
tensor(0.5131, device='cuda:0')
tensor(0.4053, device='cuda:0')
tensor(0.2991, device='cuda:0')
tensor(0.4709, device='cuda:0')
tensor(0.3299, device='cuda:0')
tensor(0.4681, device='cuda:0')
tensor(0.4137, device='cuda:0')
tensor(0.2454, device='cuda:0')
tensor(0.3490, device='cuda:0')
tensor(0.3021, device='cuda:0')
tensor(1.8154, device='cuda:0')
tensor(0.3633, device='cuda:0')
tensor(0.4339, device='cuda:0')
tensor(0.5349, device='cuda:0')
tensor(0.3435, device='cuda:0')
tensor(0.2870, device='cuda:0')
tensor(0.3589, device='cuda:0')
